1.01,0.00
2.01,0.00
3.01,0.00
4.01,0.00
5.00,0.00
6.01,0.00
7.00,0.00
8.00,0.00
9.00,0.00
10.01,0.00
11.00,0.00
12.01,0.00
13.00,0.00
14.01,0.00
15.00,0.00
16.01,0.00
17.00,0.00
18.01,0.00
19.00,0.00
20.00,0.00
21.00,0.00
22.00,0.00
23.01,0.00
24.00,0.00
25.01,0.00
26.00,0.00
27.01,0.00
28.00,0.00
29.00,0.00
30.00,0.00
31.01,52.00
32.00,52.00
33.00,52.00
34.00,52.00
35.01,52.00
36.00,52.00
37.01,52.00
38.00,52.00
39.01,52.00
40.00,52.00
41.01,52.00
42.01,52.00
43.01,52.00
44.00,52.00
45.01,52.00
46.01,52.00
47.01,52.00
48.01,52.00
49.01,52.00
50.01,52.00
51.01,52.00
52.01,52.00
53.01,52.00
54.01,52.00
55.01,52.00
56.01,52.00
57.01,52.00
58.00,52.00
59.01,52.00
60.00,52.00
61.01,56.00
62.01,56.00
63.00,56.00
64.01,56.00
65.00,56.00
66.01,56.00
67.00,56.00
68.01,56.00
69.00,56.00
70.01,56.00
71.00,56.00
72.01,56.00
73.00,56.00
74.01,56.00
75.00,56.00
76.00,56.00
77.00,56.00
78.01,56.00
79.00,56.00
80.01,56.00
81.00,56.00
82.01,56.00
83.00,56.00
84.01,56.00
85.01,56.00
86.01,56.00
87.01,56.00
88.01,56.00
89.01,56.00
90.01,56.00
91.01,46.00
92.01,46.00
93.01,46.00
94.01,46.00
95.01,46.00
96.01,46.00
97.00,46.00
98.01,46.00
99.01,46.00
100.01,46.00
101.00,46.00
102.00,46.00
103.01,46.00
104.01,46.00
105.01,46.00
106.01,46.00
107.01,46.00
108.00,46.00
109.01,46.00
110.00,46.00
111.01,46.00
112.00,46.00
113.01,46.00
114.00,46.00
115.00,46.00
116.00,46.00
117.01,46.00
118.00,46.00
119.01,46.00
120.00,46.00
121.01,46.00
122.00,56.00
123.00,56.00
124.00,56.00
125.01,56.00
126.00,56.00
127.01,56.00
128.00,56.00
129.00,56.00
130.00,56.00
131.00,56.00
132.00,56.00
133.01,56.00
